scenario,player,rating,rapm,net_rapm_ctx,o_rapm_ctx,d_rapm_ctx,defense_value_ctx,on_off_net_per_min,minutes_played
Maximize NET RAPM,Canada_p11,2.0,0.4782895666169748,0.4016600933472213,0.5454227672958832,0.1437626739486618,-0.1437626739486618,0.403731287058652,1284.482287268
Maximize NET RAPM,Canada_p3,2.0,0.1393879100567852,0.1880603680709562,0.3680603597804724,0.1799999917095162,-0.1799999917095162,0.1961137540285484,1255.327406423
Maximize NET RAPM,Canada_p6,1.5,-0.0953931426419115,-0.0794978353913212,0.3040823083805233,0.3835801437718446,-0.3835801437718446,-0.0546629578757957,1330.632400992
Maximize NET RAPM,Canada_p9,2.5,0.455081425093524,0.4519640587320699,0.6788881640838024,0.2269241053517324,-0.2269241053517324,0.4160698506308955,1158.982881409
Maximize NET RAPM (Contextual),Canada_p11,2.0,0.4782895666169748,0.4016600933472213,0.5454227672958832,0.1437626739486618,-0.1437626739486618,0.403731287058652,1284.482287268
Maximize NET RAPM (Contextual),Canada_p3,2.0,0.1393879100567852,0.1880603680709562,0.3680603597804724,0.1799999917095162,-0.1799999917095162,0.1961137540285484,1255.327406423
Maximize NET RAPM (Contextual),Canada_p6,1.5,-0.0953931426419115,-0.0794978353913212,0.3040823083805233,0.3835801437718446,-0.3835801437718446,-0.0546629578757957,1330.632400992
Maximize NET RAPM (Contextual),Canada_p9,2.5,0.455081425093524,0.4519640587320699,0.6788881640838024,0.2269241053517324,-0.2269241053517324,0.4160698506308955,1158.982881409
Maximize Offensive Impact,Canada_p11,2.0,0.4782895666169748,0.4016600933472213,0.5454227672958832,0.1437626739486618,-0.1437626739486618,0.403731287058652,1284.482287268
Maximize Offensive Impact,Canada_p2,0.0,-0.2388596981509559,-0.2008392044980564,0.38118212720825,0.5820213317063065,-0.5820213317063065,0.0338188410891393,1438.465553214
Maximize Offensive Impact,Canada_p5,3.5,0.1333307005461493,0.171615454533034,0.6016526274135356,0.4300371728805016,-0.4300371728805016,-0.0574791857666616,976.370327481
Maximize Offensive Impact,Canada_p9,2.5,0.455081425093524,0.4519640587320699,0.6788881640838024,0.2269241053517324,-0.2269241053517324,0.4160698506308955,1158.982881409
Maximize Defensive Impact,Canada_p11,2.0,0.4782895666169748,0.4016600933472213,0.5454227672958832,0.1437626739486618,-0.1437626739486618,0.403731287058652,1284.482287268
Maximize Defensive Impact,Canada_p3,2.0,0.1393879100567852,0.1880603680709562,0.3680603597804724,0.1799999917095162,-0.1799999917095162,0.1961137540285484,1255.327406423
Maximize Defensive Impact,Canada_p6,1.5,-0.0953931426419115,-0.0794978353913212,0.3040823083805233,0.3835801437718446,-0.3835801437718446,-0.0546629578757957,1330.632400992
Maximize Defensive Impact,Canada_p9,2.5,0.455081425093524,0.4519640587320699,0.6788881640838024,0.2269241053517324,-0.2269241053517324,0.4160698506308955,1158.982881409
Maximize On/Off Net,Canada_p11,2.0,0.4782895666169748,0.4016600933472213,0.5454227672958832,0.1437626739486618,-0.1437626739486618,0.403731287058652,1284.482287268
Maximize On/Off Net,Canada_p2,0.0,-0.2388596981509559,-0.2008392044980564,0.38118212720825,0.5820213317063065,-0.5820213317063065,0.0338188410891393,1438.465553214
Maximize On/Off Net,Canada_p3,2.0,0.1393879100567852,0.1880603680709562,0.3680603597804724,0.1799999917095162,-0.1799999917095162,0.1961137540285484,1255.327406423
Maximize On/Off Net,Canada_p9,2.5,0.455081425093524,0.4519640587320699,0.6788881640838024,0.2269241053517324,-0.2269241053517324,0.4160698506308955,1158.982881409
Balanced Lineup (50/50),Canada_p11,2.0,0.4782895666169748,0.4016600933472213,0.5454227672958832,0.1437626739486618,-0.1437626739486618,0.403731287058652,1284.482287268
Balanced Lineup (50/50),Canada_p3,2.0,0.1393879100567852,0.1880603680709562,0.3680603597804724,0.1799999917095162,-0.1799999917095162,0.1961137540285484,1255.327406423
Balanced Lineup (50/50),Canada_p6,1.5,-0.0953931426419115,-0.0794978353913212,0.3040823083805233,0.3835801437718446,-0.3835801437718446,-0.0546629578757957,1330.632400992
Balanced Lineup (50/50),Canada_p9,2.5,0.455081425093524,0.4519640587320699,0.6788881640838024,0.2269241053517324,-0.2269241053517324,0.4160698506308955,1158.982881409
Balanced Lineup (60/40 Offense),Canada_p11,2.0,0.4782895666169748,0.4016600933472213,0.5454227672958832,0.1437626739486618,-0.1437626739486618,0.403731287058652,1284.482287268
Balanced Lineup (60/40 Offense),Canada_p2,0.0,-0.2388596981509559,-0.2008392044980564,0.38118212720825,0.5820213317063065,-0.5820213317063065,0.0338188410891393,1438.465553214
Balanced Lineup (60/40 Offense),Canada_p5,3.5,0.1333307005461493,0.171615454533034,0.6016526274135356,0.4300371728805016,-0.4300371728805016,-0.0574791857666616,976.370327481
Balanced Lineup (60/40 Offense),Canada_p9,2.5,0.455081425093524,0.4519640587320699,0.6788881640838024,0.2269241053517324,-0.2269241053517324,0.4160698506308955,1158.982881409
Balanced Lineup (60/40 Defense),Canada_p11,2.0,0.4782895666169748,0.4016600933472213,0.5454227672958832,0.1437626739486618,-0.1437626739486618,0.403731287058652,1284.482287268
Balanced Lineup (60/40 Defense),Canada_p3,2.0,0.1393879100567852,0.1880603680709562,0.3680603597804724,0.1799999917095162,-0.1799999917095162,0.1961137540285484,1255.327406423
Balanced Lineup (60/40 Defense),Canada_p6,1.5,-0.0953931426419115,-0.0794978353913212,0.3040823083805233,0.3835801437718446,-0.3835801437718446,-0.0546629578757957,1330.632400992
Balanced Lineup (60/40 Defense),Canada_p9,2.5,0.455081425093524,0.4519640587320699,0.6788881640838024,0.2269241053517324,-0.2269241053517324,0.4160698506308955,1158.982881409
